epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6674584150314331,0.6332632303237915,0.001,0.7476190328598022,0.529105544090271
1,0.7155581712722778,0.556797206401825,0.001,0.7523809671401978,0.5065443515777588
2,0.739311158657074,0.5338632464408875,0.001,0.7476190328598022,0.5026946663856506
3,0.7404988408088684,0.5201512575149536,0.001,0.7714285850524902,0.49490123987197876
4,0.764845609664917,0.5133333206176758,0.001,0.7809523940086365,0.48080340027809143
5,0.771377682685852,0.4835692346096039,0.001,0.776190459728241,0.4851410984992981
6,0.783847987651825,0.4722389578819275,0.001,0.7523809671401978,0.5230656266212463
7,0.7719715237617493,0.47681716084480286,0.001,0.7428571581840515,0.4745815694332123
8,0.7761282920837402,0.4750453233718872,0.001,0.7666666507720947,0.46603015065193176
9,0.7915676832199097,0.4396806061267853,0.001,0.7857142686843872,0.4657357335090637
10,0.7785035371780396,0.45904865860939026,0.001,0.7666666507720947,0.4921809732913971
11,0.8064132928848267,0.4349718689918518,0.001,0.7809523940086365,0.4534817934036255
12,0.809382438659668,0.4187518358230591,0.001,0.761904776096344,0.4617932140827179
13,0.8295724391937256,0.39923596382141113,0.001,0.7571428418159485,0.4688875377178192
14,0.8141329884529114,0.4067475497722626,0.001,0.7714285850524902,0.483486145734787
15,0.8224465847015381,0.3872433006763458,0.001,0.776190459728241,0.46726447343826294
16,0.8236342072486877,0.3722946047782898,0.001,0.7666666507720947,0.46787092089653015
17,0.8289785981178284,0.3807271122932434,0.0005,0.7666666507720947,0.4747936725616455
18,0.8438242077827454,0.35708487033843994,0.0005,0.8047618865966797,0.45809897780418396
19,0.8491686582565308,0.34696441888809204,0.0005,0.7857142686843872,0.45428282022476196
20,0.8545130491256714,0.34698525071144104,0.0005,0.776190459728241,0.4560905396938324
21,0.8652018904685974,0.3288818895816803,0.0005,0.7904762029647827,0.456468790769577
